Questions-Hin,Questions-En,Answer-Hin,Answer-En
क्या आधार को पैन से लिंक करना अनिवार्य है?,Is it compulsory to link Aadhaar with PAN?,"आयकर अधिनियम की धारा १३९एए में कहा गया है कि १ जुलाई, २०१७ तक पैन रखने वाले प्रत्येक व्यक्ति को अपने पैन को अपने आधार नंबर से जोड़ना आवश्यक है। धारा १३९एए में नए पैन के लिए आवेदन करते समय और रिटर्न दाखिल करते समय भी आधार को अनिवार्य रूप से उद्धृत करना आवश्यक है।","Section 139AA of the Income Tax Act states that every person who has PAN as on July 1, 2017 is required to link his/her PAN with his/her Aadhaar number. Section 139AA also requires mandatory quoting of Aadhaar while applying for new PAN and also while filing return."
आधार को पैन से जोड़ने की समय सीमा क्या है?,What is the deadline to link Aadhaar with PAN?,"आधार-पैन लिंकिंग की समय सीमा ३१ मार्च, २०२२ तक बढ़ा दी गई है।","Aadhaar-PAN linking deadline has been extended till March 31, 2022."
मैं अपने आधार को पैन से कैसे लिंक करूं?,How do I link my Aadhaar with PAN?,"आप आयकर विभाग की ई-फाइलिंग वेबसाइट https://www.incometax.gov.in/iec/foportal या Protean e-Gov TIN वेबसाइट www.protean-tinpan.com पर जा सकते हैं और अपने आधार को पैन से लिंक कर सकते हैं।
वैकल्पिक रूप से, आप निम्नलिखित प्रारूप में ५६७६७८ पर एसएमएस भेजकर अपने आधार को पैन से लिंक कर सकते हैं -

प्रारूप है: UIDPAN<स्पेस> <१२ अंक आधार> <स्पेस> <१० अंक पैन>
उदाहरण के लिए, यदि आपका आधार नंबर 111122223333 है और पैन AAAPA9999Q है, तो आपको UIDPAN 111122223333 AAAPA9999Q के रूप में ५६७६७८ पर एसएमएस भेजना होगा।
यह प्रोटियन (पूर्व एनएसडीएल ई-गवर्नेंस) द्वारा प्रदान की जाने वाली एक निःशुल्क सेवा है। हालांकि, मोबाइल ऑपरेटर द्वारा लगाए गए एसएमएस शुल्क लागू होंगे।","(A)	You may visit e-filing website of Income Tax Department https://www.incometax.gov.in/iec/foportal  or Protean e-Gov TIN website www.protean-tinpan.com and link your Aadhaar with PAN.
(B)	Alternatively, you can link your Aadhaar with PAN by sending SMS in the following format to 567678 – 
	The format is: UIDPAN<SPACE><12 digit Aadhaar><SPACE><10 digit PAN>  
	For example, if your Aadhaar number is 111122223333 and PAN is AAAPA9999Q, then you are required to send SMS to 567678 as UIDPAN 111122223333 AAAPA9999Q 
	This is a free service provided by Protean e-Gov. However, SMS charges as levied by the mobile operator will be applicable"
यदि मैं अपने आधार को पैन के साथ ऑनलाइन या एसएमएस सुविधा के माध्यम से लिंक करने में असमर्थ हूं जैसा कि ऊपर बताया गया है तो मुझे क्या करना चाहिए?,What should I do if I am unable to link my Aadhaar with PAN either online or through SMS facility as mentioned above?,"आप बायोमेट्रिक आधार प्रमाणीकरण सेवाओं का उपयोग करके अपने आधार को पैन से लिंक कर सकते हैं। आधार सीडिंग अनुरोध फॉर्म डाउनलोड करने के लिए यहां क्लिक करें और बायोमेट्रिक आधार प्रमाणीकरण के लिए नामित पैन केंद्र पर सहायक दस्तावेजों यानी पैन कार्ड और आधार कार्ड की प्रति के साथ जाएं। उपर्युक्त ऑनलाइन सेवाओं के विपरीत, बायोमेट्रिक आधार प्रमाणीकरण का उपयोग करके आधार को पैन से जोड़ने पर शुल्क लगता है।","You can link your Aadhaar with PAN using Biometric Aadhaar Authentication services. Click  here to download Aadhaar Seeding Request Form and visit designated PAN centre for Biometric Aadhaar Authentication along with supporting documents i.e. copy of PAN card and Aadhaar card. Unlike abovementioned online services, linking of Aadhaar with PAN using Biometric Aadhaar Authentication is chargeable."
मैं पैन के लिए आवेदन कैसे कर सकता/ती हूँ?,How do I apply for PAN?,"आप परमानेंट अकाउंट नंबर (पैन आवेदन फॉर्म) के आवंटन के लिए आवेदन भरकर पैन के लिए आवेदन कर सकते हैं। फॉर्म हैं:-.

फॉर्म ४९ए (भारतीय नागरिकों के लिए) 
फॉर्म ४९एए (विदेशी नागरिकों के लिए)

पैन आवेदन या तो एनएसडीएल वेबसाईट www.protean-tinpan.com (क्लिक करें यहाँ  (ऑनलाइन पैन के लिए आवेदन करने के लिए यहाँ क्लिक करें) के माध्यम से या किसी भी प्रोटियन (पूर्व एनएसडीएल ई-गवर्नेंस) टिन-सहायता केंद्र / पैन केंद्रों ( क्लिक करें यहाँ नजदीकी टिन-सहायता केंद्रों/ पैन केंद्रों जहाँ पैन आवेदन जमा किया जा सकता है पर क्लिक कर उसका चयन करें) के माध्यम से ऑनलाइन किया जा सकता है।","You can apply for PAN by filling up Application for Allotment of Permanent Account Number (PAN application form). The forms are -

Form 49A (for Indian Citizens) 
Form 49AA (for Foreign Citizens)

 PAN application can be made either online through Protean web-site www.protean-tinpan.com (Click here to apply for PAN online) or through any of the Protean TIN-Facilitation Centres/ PAN Centres (Click here to select the nearest TIN – Facilitation Centers/ PAN centres where PAN application may be submitted)."
क्या मैं कोरे कागज़ पर पैन के लिए आवेदन कर सकता/ती हूँ?,Can I make an application for PAN on Plain Paper?,"नहीं,पैन के लिए आवेदन केवल केन्द्रीय प्रत्यक्ष कर बोर्ड द्वारा अधिसूचित निर्धारित प्रारूप का उपयोग कर किया जा सकता है। अधिसूचित फॉर्म निम्नानुसार हैं:

फॉर्म ४९ए (भारतीय नागरिकों के लिए) 
फॉर्म ४९एए (विदेशी नागरिकों के लिए)","No. Application for PAN can be made only be done using the prescribed formatas notified by Central Board of Direct Taxes, The notified forms are as under 

Form 49A (for Indian Citizen)
Form 49AA (for Foreign Citizen)."
मैं पैन आवेदन फॉर्म कहाँ से प्राप्त कर सकता /ती हूँ?,Where can I obtain PAN application form?,आप किसी भी प्रोटियन (पूर्व एनएसडीएल ई-गवर्नेंस) टिन-सहायता केंद्र (टिन-एफसी)/ पैन केंद्र या ऐसे फॉर्म प्रदान करने वाले अन्य स्टेशनरी विक्रेताओं द्वारा पैन आवेदन प्राप्त कर सकते हैं। इसे प्रोटियन (पूर्व एनएसडीएल ई-गवर्नेंस)- टिन की वेबसाईट से भी डाउनलोड किया जा सकता है। फॉर्म डाउनलोड करने के लिए यहाँ क्लिक करें।,You can obtain PAN application form from any Protean TIN-Facilitation Centre (TIN-FC)/ PAN Centre or any other stationery vendors providing such forms. The same can be downloaded from Protean-TIN website. Click here to download the form.
क्या पैन आवेदन फॉर्म लेने पर कोई शुल्क है?,Are there any charges for obtaining PAN application form?,"नहीं,फॉर्म को प्रोटियन (पूर्व एनएसडीएल ई-गवर्नेंस) -टिन वेबसाईट से नि:शुल्क डाउनलोड कर सकते हैं। फॉर्म डाउनलोड करने के लिए यहाँ क्लिक करें । आप किसी भी प्रोटियन (पूर्व एनएसडीएल ई-गवर्नेंस) टिन सहायता केंद्र (टिन-एफसी)/ पैन केंद्र से फॉर्म नि:शुल्क प्राप्त कर सकते हैं।",No.The form is freely downloadable from Protean e-Gov-TIN website. Click here to download the form. You can also obtain the form from any Protean e-Gov TIN Facilitation Center (TIN-FC)/PAN Center free of cost.
मैं अपना पैन आवेदन कहाँ जमा कर सकता हूँ?,Where should I submit my PAN application?,"आप प्रोटियन (पूर्व एनएसडीएल ई-गवर्नेंस) द्वारा प्रबंधित किसी भी टिन- एफसी या पैन केंद्रों  में सहायक दस्तावेजों के साथ विधिवत रूप से भरा व हस्ताक्षरित पैन आवेदन फॉर्म जमा कर सकते हैं। यदि ऑनलाइन आवेदन किया गया है, तो हस्ताक्षरित और सहायक दस्तावेजों के साथ फोटो लगाकर पावती रसीद नीचे दिए गए पते पर भेजे जाने चाहिए:
इनकम टैक्स पैन सर्विस यूनिट
                                                                                                  (प्रोटियन (पूर्व एनएसडीएल ई-गवर्नेंस) इन्फ्रास्ट्रक्चर लिमिटेड द्वारा प्रबंधित)
 ५वीं मंजिल, मंत्री स्टर्लिंग, प्लॉट नं ३४१,
                                                         सर्वे नं. ९९७/८, मॉडल कॉलोनी,
                                                         दीप बंगलो चौक के पास,
                                                         पुणे- ४११ ०१६","You can submit your duly filled and signed PAN application form along-with the supporting documents to any of the TIN-FCs or PAN Centres managed by Protean e-Gov.However, if applied online, duly signed and photo affixed acknowledgement receipt alon-gwith supporting documents should be sent to below address: 
INCOME TAX PAN SERVICES UNIT
                                                    (Managed by Protean e-Governance Infrastructure Limited)
 5th Floor, Mantri Sterling, Plot No. 341,
                                                         Survey No. 997/8, Model Colony,
                                                         Near Deep Bungalow Chowk,
                                                         Pune - 411 016"
फॉर्म ए/ फॉर्म एए जमा करते समय दिया जाने वाला शुल्क क्या है?,What are the charges to be paid while submitting Form 49A/ 49AA?,"यदि भौतिक पैन कार्ड की आवश्यकता है: पपैन आवेदन फॉर्म जमा करते समय, आवेदक को यह बताना होगा कि भौतिक पैन कार्ड की आवश्यकता है या नहीं,यदि आवेदक भौतिक पैन कार्ड के विकल्प को चुनता है, तो भौतिक पैन कार्ड को प्रिंट कर पत्र-व्यवहार के पते पर भेज दिया जाएगा। पीडीएफ प्रारूप में ई-पैन कार्ड आवेदन में उल्लिखित ई-मेल आईडी पर भेजा जाएगा, बशर्ते आपने ई-मेल आईडी प्रदान की हो। शुल्क इस प्रकार लागू है:
                                        




क्रमांक
विषयवस्तु
शुल्क (लागू करों को छोड़कर) (₹)
शुल्क (लागू करों सहित) (₹)





टिन सहायता केंद्र/पैन केंद्र पर जमा किए गए पैन आवेदन



१
भारत में भौतिक पैन कार्ड भेजना (यदि पत्र व्यवहार पते के लिए भारतीय पता प्रदान किया गया है)
९१
१०७


२
भारत के बाहर भौतिक पैन कार्ड भेजना (यदि पत्र व्यवहार के लिए प्रदान किया गया पता विदेशी पता है)
८६२
१,०१७



पैन आवेदन, भौतिक माध्यम (अथार्त प्रोटियन (पूर्व एनएसडीएल ई-गवर्नेंस) को भौतिक दस्तावेज जमा करना) का उपयोग कर ऑनलाइन जमा किए गए 
प
										

१
भारत में भौतिक पैन कार्ड भेजना (यदि पत्र व्यवहार पते के लिए भारतीय पता प्रदान किया गया है)
९१
१०७


२
भारत के बाहर भौतिक पैन कार्ड भेजना (यदि पत्र व्यवहार के लिए प्रदान किया गया पता विदेशी पता है)
८६२
१,०१७



पैन आवेदन को पेपरलेस माध्यम (ई-केवायसी और ई-साइन/स्कैन आधारित ई-साइन/स्कैन आधारित डीएससी) के माध्यम से ऑनलाइन जमा करना



१
भारत में भौतिक पैन कार्ड भेजना (यदि पत्र व्यवहार पते के लिए भारतीय पता प्रदान किया गया है)
८६
१०१


२
भारत के बाहर भौतिक पैन कार्ड भेजना (यदि पत्र व्यवहार के लिए प्रदान किया गया पता विदेशी पता है)
८५७
१,०११




यदि भौतिक पैन कार्ड की आवश्यकता नहीं है:यदि भौतिक पैन कार्ड की आवश्यकता नहीं है, तो आवेदक को पैन आवेदन जमा करते समय सूचित करना होगा। ऐसे मामलों में, ई-मेल आईडी प्रदान करना अनिवार्य है और ई-मेल आईडी पर पैन आवेदक को ई-पैन कार्ड भेजा जाएगा। ऐसे मामलों में भौतिक पैन कार्ड नहीं भेजा जाएगा। शुल्क इस प्रकार लागू है:                                                                                                                                              
						
	



क्रमांक
वविषयवस्तु
शुल्क (लागू करों को छोड़कर) (₹)
शुल्क (लागू करों सहित) (₹)





टिन सहायता केंद्र/पैन केंद्र पर जमा किए गए पैन आवेदन



१
ई-पैन कार्ड पैन आवेदन फॉर्म में उल्लिखित ई-मेल आईडी पर भेजा जाएगा।
६१
७२



पैन आवेदन, भौतिक माध्यम (अथार्त प्रोटियन (पूर्व एनएसडीएल ई-गवर्नेंस) को भौतिक दस्तावेज जमा करना) का उपयोग कर ऑनलाइन जमा किए गए



१
ई-पैन कार्ड पैन आवेदन फॉर्म में उल्लिखित ई-मेल आईडी पर भेजा जाएगा।
६१
७२



पैन आवेदन को पेपरलेस माध्यम (ई-केवायसी और ई-साइन/स्कैन आधारित ई-साइन/स्कैन आधारित डीएससी) के माध्यम से ऑनलाइन जमा करना



१
ई-पैन कार्ड पैन आवेदन फॉर्म में उल्लिखित ई-मेल आईडी पर भेजा जाएगा।
५६
६६","If Physical PAN Card is required:While submitting PAN application form, applicant will have to indicate whether physical PAN card is required. If applicant opts for physical PAN Card, then physical PAN card will be printed & dispatched at communication address. The e-PAN card in PDF format will be dispatched at                e-mail ID mentioned in PAN application form, if the same is provided. Fees applicable are as follows:-
                                        




Sr. No.
Particulars
Fees (exclusive of applicable taxes)(₹)
Fees (inclusive of applicable taxes)(₹)





PAN applications submitted at TIN Facilitation Centres / PAN Centres



1
Dispatch of physical PAN Card in India (Communication address is Indian address)
91
107


2
Dispatch of physical PAN Card outside India (where foreign address is provided as address for communication)
862
1,017



PAN applications submitted Online using physical mode (i.e. Physical documents forwarded to Protean e-Gov.)



1
Dispatch of physical PAN Card in India (Communication address is Indian address)
91
107


2
Dispatch of physical PAN Card outside India (where foreign address is provided as address for communication)
862
1,017



PAN applications submitted Online through paperless modes (e-KYC  & e-Sign / e-Sign scanned based / DSC scanned based):



1
Dispatch of physical PAN Card in India (Communication address is Indian address)
86
101


2
Dispatch of physical PAN Card outside India (where foreign address is provided as address for communication)
857
1,011




If Physical PAN Card is not required:PAN applicant will have to indicate at the time of submission of PAN application, if the physical PAN Card is not required. In such cases, email ID will be mandatory & e-PAN Card will be sent to the PAN applicant at the email ID. Physical PAN Card will not be dispatched in such cases. Fees applicable are as follows:-
						
	



Sr. No.
Particulars
Fees (exclusive of applicable taxes)(₹)
Fees (inclusive of applicable taxes)(₹)





PAN applications submitted at TIN Facilitation Centres / PAN Centres



1
e-PAN Card will be dispatched at the email ID mentioned in the PAN application form
61
72




PAN applications submitted Online using physical mode (i.e. Physical documents forwarded to Protean e-Gov.)



1
e-PAN Card will be dispatched at the email ID mentioned in the PAN application form
61
72




PAN applications submitted Online through paperless modes (e-KYC & e-Sign / e-Sign scanned based / DSC scanned based):



1
e-PAN Card will be dispatched at the email ID mentioned in the PAN application form
56
66"
टिन-एफसी को पैन आवेदन फॉर्म जमा करने पर मुझे क्या प्राप्त होगा?,What will I receive on submission of the PAN application form to a TIN-FC?,पैन आवेदन फॉर्म जमा करने पर आपको १५ अंकों की विशिष्ट पावती संख्या के साथ पावती प्राप्त होगी।,You will receive an acknowledgment with a unique 15-digit acknowledgment number on submission of the PAN application form.
मैं अपने आवेदन के स्टेटस के बारे में कैसे जान सकता हूँ?,How can I enquire about the status of my application?,"(i) आपके आवेदन करने के ३ दिन बाद आप प्रोटियन (पूर्व एनएसडीएल ई-गवर्नेंस)-टिन की वेबसाईट पर जाकर ""स्टेटस ट्रैक"" विकल्प का चयन करने के बाद आपके विशिष्ट १५ अंकों की पावती संख्या को दर्ज कर आवेदन के स्टेटस को जान सकते हैं।
(ii) आप मोबाइल फ़ोन का उपयोग कर एसएमएस (शोर्ट मेसेज सर्विस) के माध्यम से अपने आवेदन का स्टेटस प्राप्त कर सकते हैं। इसके लिए आपको “Protean PAN” के साथ आपके विशिष्ट १५ अंकों की पावती संख्या टाइप कर ५७५७५ पर भेजना होगा। उदाहरण के लिए: एसएमएस Protean PAN०१२३४५६७८९०१२३४लिख कर ५७५७५ पर भेज दें।.
(iii) आप हमारे कॉल सेंटर को०२०-२७२१८०८०पर कॉल करके इंटरएक्टिव वोइस रिसपोंस (आईवीआर) के माध्यम से अपने आवेदन का स्टेटस देख सकते हैं।","You can inquire the status of your application by accessing Protean -TIN website at the ""Status track"" option and quoting your unique 15-digit acknowledgement number after three days of your application.
You can also obtain status of your application through SMS (Short messaging service) using mobile phones. For this, you have to type the word ""Protean PAN"" followed by your 15-digit acknowledgement number and send it to 57575. For example: SMS Protean PAN 012345678901234 to 57575.
You can also check the status of your application through Interactive Voice Response (IVR) by calling our call center on 020-27218080."
मैं अपना पैन आवेदन फॉर्म कैसे भर सकता/ती हूँ?,How do I fill the PAN application form?,आपको आवेदन फॉर्म को अंग्रेजी के बड़े अक्षरों (कैपिटल लेटर्स) में और विशेषत: काली स्याही से भरना चाहिए। पैन आवेदन फॉर्म भरने से पहले सभी निर्देशों को पढ़े।,You should fill the application form legibly in English capital letters and preferably with black ink. Read all the instructions before filling up PAN application form.
क्या पैन के लिए आवेदन करने के लिए दो फोटो का होना अनिवार्य हैं?,Are two photographs compulsory for making an application for PAN?,"हाँ, ‘वैयक्तिक’ आवेदकों को फॉर्म में फोटो के लिए दिए गए स्थान पर सफ़ेद बैकग्राउंड (आकार ३.५ सेमी* २.५ सेमी) के साथ दो हालिया रंगीन फोटो को चिपकाना चाहिए। फोटो को फॉर्म के साथ स्टेपल या क्लिप नहीं किया जाना चाहिए। आवेदक को फॉर्म के बाई ओर चिपकाए गए फोटोग्राफ पर इस तरह हस्ताक्षर करना चाहिए कि हस्ताक्षर फोटो के साथ-साथ फॉर्म पर भी हो। पैन कार्ड पर आने वाले फोटो की स्पष्टता फॉर्म पर चिपकाए गए फोटो की गुणवत्ता व स्पष्टता पर निर्भर करेगी।",Yes. 'Individual' applicants should affix two recent colour photographs with white background (size 3.5 cm x 2.5 cm) in the space provided on the form. The photographs should not be stapled or clipped to the form. The applicant should sign across the photograph affixed on the left side of the form in such a manner that portion of signature is on photo as well as on form. The clarity of image on PAN card will depend on the quality and clarity of photograph affixed on the form.
मुझे आवेदन फॉर्म के साथ कौन से दस्तावेज जमा करने चाहिए?,What documents should I submit along with the application form?,"आपको आवेदन पत्र के साथ निम्नलिखित दस्तावेज जमा करने होंगे:

क) पहचान का प्रमाण (पीओआई)
ख) पते का प्रमाण (पीओए)
ग) जन्मतिथि का प्रमाण (पीओडीबी) (केवल आवेदक की वैयक्तिक और एचयूएफ स्थिति के लिए लागू)

(पीओए) पीओआई और पीओए के लिए दस्तावेज नागरिकता एवं आवेदक की स्थिति पर निर्भर करते हैं।.","You have to submit the following documents with the application form:

Proof of identity (POI)
Proof of address (POA)
 Proof of date of birth (PODB) (applicable only for Individual & HUF status of applicant.) (POA)

The documents for POI and POA depend on the citizenship and the status of the applicant."
"उन आवेदकों के लिए क्या प्रक्रिया है, जो हस्ताक्षर नहीं कर सकते हैं?",What is the procedure for applicants who cannot sign?,"ऐसे मामलों में, आवेदक के बाएँ हाथ के अंगूठे की छाप (विशेषत: काली स्याही में) हस्ताक्षर के लिए निर्धारित स्थान पर पैन आवेदन पत्र पर लिया जाना चाहिए। यह आधिकारिक मुहर मजिस्ट्रेट या नोटरी पब्लिक या राजपत्रित अधिकारी द्वारा सत्यापित किया जाना चाहिए।.","In such cases, Left Hand Thumb Impression (preferably in black ink) of the applicant should be taken on PAN application form at the place meant for signature. This should be attested by a Magistrate or a Notary Public or a Gazetted Officer, under official seal and stamp."
क्या महिला आवेदकों (विवाहित/तलाकशुदा/विधवा सहित) के लिए पिता का नाम देना अनिवार्य है?,Is it mandatory to mention father’s name for an individual applicant?,"हाँ,महिला आवेदकों (विवाहित होने के अलावा) सहित वैयक्तिक आवेदकों को पैन आवेदन फॉर्म में केवल पिता का नाम लिखना चाहिए। हालांकि, यदि कोई आवेदक केवल माता-पिता के रूप में केवल माँ है और माँ के नाम को प्रस्तुत कर पैन के लिए आवेदन करना चाहता/ती है, तो आवेदक को अनिवार्य रूप से संबंधित बॉक्स को चिन्हित  करना होगा और माँ के नाम की स्थान पर माँ का नाम लिखना होगा। इसके साथ ही, आवेदक को पैन कार्ड पर माँ का नाम प्रिंट करने के लिए बॉक्स पर निशान लगाना अनिवार्य है। इस प्रकार, ऐसे मामलों में, पिता का नाम आवेदन पत्र में नहीं भरा जाना चाहिए।","Yes. Individual applicants including Female applicants (irrespective of their marital status), should write only father’s name in the PAN application form.
However, if an applicant is having only mother as a single parent and wishes to apply for PAN by furnishing the name of mother only, then applicant has to mandatorily tick the relevant box in the application form and mention only mother’s name in the Mother’s Name field. Also, applicant should tick the box for printing mother’s name on the PAN card. Thus, in such a case, father’s name should not be filled in the application form."
क्या ऐसे वैयक्तिक आवेदक पैन के लिए आवेदन कर सकते है जिनकी माँ एकल अभिभावक है?,Can an Individual having Mother as a single parent apply for PAN?,"हाँ. यदि आवेदक की माँ एकल अभिभावक है तो आवेदक को आवेदन पत्र में संबंधित बॉक्स को अनिवार्य रूप से चिन्हित करना होगा और माँ के नाम की जगह में केवल माँ का नाम लिखना होगा. इसके साथ ही, आवेदक को पैन कार्ड पर माँ का नाम प्रिंट करने के लिए बॉक्स पर निशान लगाना अनिवार्य है. इस प्रकार, ऐसे मामलों में, पिता का नाम आवेदन पत्र में नहीं भरा जाना चाहिए","Yes. If an applicant is having only mother as a single parent and wishes to apply for PAN by furnishing the name of mother only, then applicant has to mandatorily tick the relevant box in the application form and mention only mother’s name in the Mother’s Name field. Also, applicant should tick the box for printing mother’s name on the PAN card. Thus, in such a case, father’s name should not be filled in the application form."
